3:205,157,8,45,205,162,19,64,16,50
4:197,90,61,23,106,37,31,119,164,45
0:114,11,249,231,125,105,232,237,44,1
4:220,170,208,30,95,163,35,74,84,235
2:88,207,50,178,120,151,54,227,202,96
0:248,219,146,34,67,25,197,189,87,133
3:215,138,203,38,59,44,116,145,105,127
4:140,153,205,229,108,162,21,163,234,213
4:166,66,77,25,27,188,137,70,133,97
0:250,127,152,51,241,240,41,134,13,12
0:106,204,175,16,96,63,196,133,30,20
3:172,210,103,252,238,217,170,193,162,240
2:51,16,162,207,93,46,220,210,154,39
1:75,207,162,111,218,98,225,168,119,184
3:2,229,170,75,174,220,244,49,73,142
3:142,46,95,136,170,140,247,206,198,161
2:42,180,129,202,212,86,72,104,36,205
1:90,170,17,217,76,55,61,10,53,242
3:111,93,144,123,109,54,128,141,112,16
4:194,122,9,62,148,229,26,31,5,51
3:93,26,111,107,200,186,123,178,211,130
0:243,1,163,178,118,146,138,188,12,211
1:13,93,99,50,218,130,57,147,163,187
0:242,50,185,119,2,38,173,163,232,89
3:167,104,136,119,21,188,128,153,122,143
0:140,14,107,23,33,156,188,12,125,153
0:8,187,172,156,220,57,50,209,250,161
2:214,157,225,174,18,227,167,158,68,169
4:210,163,5,241,255,133,25,93,76,206
1:232,230,39,100,208,68,159,192,140,159
0:63,33,205,65,216,144,244,94,222,49
4:86,31,218,207,144,62,183,73,1,182
2:119,106,135,12,183,76,206,88,51,32
4:223,30,132,135,145,196,57,167,203,67
0:20,205,95,240,86,55,238,104,56,6
2:241,198,89,54,63,142,42,157,220,108
2:180,49,57,252,12,223,166,132,94,64
2:163,248,33,7,221,86,173,32,51,194
4:66,79,135,107,25,154,174,26,54,229
1:50,52,83,244,52,243,244,97,183,80
3:201,254,222,138,160,192,246,92,2,51
4:137,22,39,98,212,180,103,81,107,94
1:3,152,141,1,7,24,65,229,4,88
1:35,53,100,171,182,217,225,122,39,14
0:224,113,73,31,13,73,233,185,167,48
4:74,216,135,192,105,57,95,121,228,33
0:127,234,232,25,116,145,155,54,95,15
4:130,171,211,43,248,4,117,50,70,169
1:173,17,226,68,243,168,117,236,175,4
1:97,158,110,97,66,66,2,213,238,179
1:116,160,84,241,74,184,48,139,11,253
0:93,249,159,114,46,233,230,249,171,27
3:120,13,189,65,49,98,139,136,112,190
4:60,181,11,133,200,33,210,60,170,100
2:117,60,146,48,51,9,90,28,29,1
1:7,237,178,148,77,255,151,226,52,237
4:95,148,121,17,26,252,128,180,253,82
3:173,241,249,250,133,232,218,160,209,20
3:36,104,19,143,248,248,244,226,226,82
1:127,29,28,232,121,98,199,51,117,42
4:40,216,164,79,156,17,224,146,102,60
4:250,91,119,204,233,67,116,82,67,118
4:5,58,85,2,252,35,228,99,166,201
4:126,95,162,236,167,60,234,46,153,173
4:210,171,217,45,12,148,250,80,57,118
3:149,94,204,182,182,205,123,129,28,75
0:8,68,63,229,51,190,200,216,251,208
1:246,88,180,57,223,6,183,220,186,111
1:62,178,41,38,187,131,243,35,2,235
3:213,223,200,238,203,210,168,90,174,40
0:104,145,28,206,74,0,169,225,156,36
2:242,148,104,33,225,15,5,71,249,6
2:95,0,13,169,200,106,165,42,143,192
2:121,76,236,99,93,193,117,3,74,71
1:181,159,220,90,141,115,244,73,175,236
4:109,176,151,67,220,117,132,55,34,133
0:128,167,53,138,196,237,54,96,237,75
4:82,174,123,215,37,50,188,198,52,79
1:115,106,235,49,24,165,191,88,41,10
1:162,6,94,165,127,28,88,34,78,183
0:173,243,20,235,47,213,148,215,18,213
3:41,115,165,124,36,121,159,223,75,159
0:180,214,154,227,12,75,1,121,12,17
4:203,173,67,187,150,168,65,28,8,97
0:114,118,59,116,206,106,51,116,62,101
0:196,198,39,142,209,204,41,190,150,171
2:242,54,84,227,31,131,102,12,210,91
1:47,209,93,133,253,71,184,75,255,145
4:169,202,211,160,59,130,115,90,10,76
4:253,128,13,173,211,3,88,220,120,117
3:135,29,7,4,108,129,16,198,77,176
1:162,96,55,99,98,236,69,208,22,12
1:158,201,150,82,231,191,104,209,122,196
1:229,99,0,130,12,96,167,177,240,189
1:201,19,130,112,131,54,63,166,234,227
4:188,194,210,71,62,203,223,249,167,3
1:128,84,112,7,155,148,233,248,106,13
1:172,204,97,175,193,154,229,40,106,59
2:100,47,138,94,114,0,168,244,57,140
2:137,60,197,122,88,213,133,165,189,19
4:76,38,59,71,3,255,194,108,231,44
2:60,86,213,41,139,189,221,155,224,161
1:72,177,225,157,175,1,138,18,162,152
2:204,196,10,4,124,253,103,61,8,39
2:185,132,90,57,111,221,246,218,65,232
1:115,22,97,109,117,94,61,235,112,20
3:81,24,154,237,137,133,9,202,36,147
0:233,141,81,13,23,243,40,194,87,225
2:213,175,199,86,214,30,118,223,46,154
2:203,88,105,137,81,41,195,202,177,192
1:114,171,45,253,114,240,109,85,125,13
4:179,215,51,170,184,136,242,196,185,6
2:206,111,44,143,162,166,121,217,118,28
4:148,82,88,28,110,199,31,212,123,18
1:72,40,188,238,125,190,90,38,237,14
1:206,137,29,165,238,40,142,123,144,214
4:40,152,43,168,171,177,30,215,141,95
0:118,166,50,249,30,245,28,190,61,89
3:26,254,58,13,114,113,76,80,163,29
1:96,137,151,98,214,174,166,167,42,183
